日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-05,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3408,0
2018-06-05,Mobile-画中画1,606707,,BJ-18-033,249803,294,0.12,189230,280
2018-06-05,Mobile-信息流,606706,,BJ-18-033,109940,188,0.17,83193,166
2018-06-05,Mobile-专题-mpu,606719,,BJ-18-033,14680,17,0.12,9624,17
2018-06-05,Mobile-专题-顶通,606718,,BJ-18-033,15015,6,0.04,9771,6
2018-06-05,PC-homepage-mpu1,606644,,BJ-18-029,21352,18,0.08,18995,15
2018-06-05,PC-homepage-mpu1-补投,606657,,BJ-18-029,675791,347,0.05,210851,291
2018-06-05,PC-homepage-mpu2,606647,,BJ-18-029,25627,4,0.02,22379,4
2018-06-05,mo-infor cpc,606697,,SH-18-008,0,1,0,0,1
2018-06-05,mo-mpu2,606668,,SH-18-011,139928,124,0.09,113363,121
2018-06-05,mo-topbanner,606667,,SH-18-011,139934,210,0.15,20047,181
2018-06-05,mo-topbanner-bu,606721,,SH-18-011,228670,249,0.11,185526,241
2018-06-05,mobile-mpu1,606645,,BJ-18-029,159879,355,0.22,126011,300
2018-06-05,mobile-mpu1-补投,606658,,BJ-18-029,396599,750,0.19,283741,635
2018-06-05,mobile-mpu2,606646,,BJ-18-029,249816,253,0.1,192057,221
2018-06-05,mobile-mpu2-补投,606663,,BJ-18-029,877587,1122,0.13,596344,941
2018-06-05,pc-hp-mpu1,606665,,SH-18-011,29296,0,0,25008,0
2018-06-05,pc-hp-mpu2,606689,,BJ-18-002,37947,80,0.21,31535,17
2018-06-05,pc-hp-半幅画中画1,606703,,BJ-18-033,29312,18,0.06,25139,18
2018-06-05,pc-hp-全屏,606708,,BJ-18-033,0,1,0,0,1
2018-06-05,pc-ros-mpu2,606648,,BJ-18-029,34965,16,0.05,22627,11
2018-06-05,pc-ros-mpu3,606666,,SH-18-011,128131,0,0,59039,0
2018-06-05,pc-ros-底通,606690,,BJ-18-002,130671,47,0.04,58859,27
2018-06-05,pc-ros-顶通,606705,,BJ-18-033,179173,57,0.03,78410,56
2018-06-05,pc-专题-半幅画中画1,606714,,BJ-18-033,5509,5,0.09,3735,4
2018-06-05,pc-专题-半幅画中画2,606715,,BJ-18-033,5502,1,0.02,3732,1
2018-06-05,pc-专题-底通,606717,,BJ-18-033,5388,4,0.07,3662,4
2018-06-05,pc-专题-顶通,606713,,BJ-18-033,5525,3,0.05,3754,3
2018-06-05,pc-专题-画中画3,606716,,BJ-18-033,5398,3,0.06,3685,3
2018-06-05,pc-专题banner导流,606720,,BJ-18-033,65284,29,0.04,36264,28
2018-06-04,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2181,0
2018-06-04,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2133,0
2018-06-04,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2695,0,0,2330,0
2018-06-04,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2007,0,0,1790,0
2018-06-04,MOBILE-MPU2,606693,,BJ-18-027,89886,113,0.13,78452,113
2018-06-04,MOBILE-顶通,606692,,BJ-18-027,69893,81,0.12,61618,75
2018-06-04,MOBILE-顶通-补投,606694,,BJ-18-027,266722,207,0.08,224928,189
2018-06-04,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3714,0,0,3196,0
2018-06-04,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3713,0,0,3215,0
2018-06-04,Mobile-画中画1,606707,,BJ-18-033,249757,280,0.11,193220,261
